# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
356.8915,761.8942,609.9889,1.5708,0.0000,-3.5536
354.8891,757.3127,609.9889,1.5708,0.0000,-3.5536
352.8867,752.7312,609.9889,1.5708,0.0000,-3.5536
350.7241,747.7831,609.9889,1.5708,0.0000,-3.5536
348.5615,742.8351,609.9889,1.5708,0.0000,-3.5536
346.6392,738.4368,609.9889,1.5708,0.0000,-3.5536
344.5567,733.6720,609.9889,1.5708,0.0000,-3.5536
342.4742,728.9072,609.9889,1.5708,0.0000,-3.5536
340.3917,724.1424,609.9889,1.5708,0.0000,-3.5536
338.3093,719.3776,609.9889,1.5708,0.0000,-3.5536
336.2268,714.6128,609.9889,1.5708,0.0000,-3.5536
334.1443,709.8481,609.9889,1.5708,0.0000,-3.5536
332.3021,705.6330,609.9889,1.5708,0.0000,-3.5536
330.2997,701.0515,609.9889,1.5708,0.0000,-3.5536
328.2973,696.4700,609.9889,1.5708,0.0000,-3.5536
326.1347,691.5219,609.9889,1.5708,0.0000,-3.5536
324.2124,687.1237,609.9889,1.5708,0.0000,-3.5536
322.2901,682.7254,609.9889,1.5708,0.0000,-3.5536
320.3678,678.3271,609.9889,1.5708,0.0000,-3.5536
318.2853,673.5623,609.9889,1.5708,0.0000,-3.5536
316.2028,668.7976,609.9889,1.5708,0.0000,-3.5536
314.3606,664.5826,609.9889,1.5708,0.0000,-3.5536
312.3582,660.0010,609.9889,1.5708,0.0000,-3.5536
310.1956,655.0530,609.9889,1.5708,0.0000,-3.5536
308.2733,650.6547,609.9889,1.5708,0.0000,-3.5536
306.1908,645.8899,609.9889,1.5708,0.0000,-3.5536
304.1083,641.1251,609.9889,1.5708,0.0000,-3.5536
301.8656,635.9938,609.9889,1.5708,0.0000,-3.5536
299.4627,630.4960,609.9889,1.5708,0.0000,-3.5536
297.0599,624.9981,609.9889,1.5708,0.0000,-3.5536
294.6570,619.5003,609.9889,1.5708,0.0000,-3.5536
292.0939,613.6360,609.9889,1.5708,0.0000,-3.5536
289.7711,608.3214,609.9889,1.5708,0.0000,-3.5536
287.2882,602.6403,609.9889,1.5708,0.0000,-3.5536
284.8052,596.9592,609.9889,1.5708,0.0000,-3.5536
282.3222,591.2781,609.9889,1.5708,0.0000,-3.5536
279.8393,585.5970,609.9889,1.5708,0.0000,-3.5536
277.1961,579.5494,609.9889,1.5708,0.0000,-3.5536
274.3927,573.1352,609.9889,1.5708,0.0000,-3.5536
271.5894,566.7211,609.9889,1.5708,0.0000,-3.5536
268.7860,560.3070,609.9889,1.5708,0.0000,-3.5536
265.9827,553.8928,609.9889,1.5708,0.0000,-3.5536
263.1793,547.4787,609.9889,1.5708,0.0000,-3.5536
260.3760,541.0645,609.9889,1.5708,0.0000,-3.5536
257.8129,535.2002,609.9889,1.5708,0.0000,-3.5536
255.2498,529.3358,609.9889,1.5708,0.0000,-3.5536
252.6867,523.4715,609.9889,1.5708,0.0000,-3.5536
250.3640,518.1569,609.9889,1.5708,0.0000,-3.5536
247.8810,512.4758,609.9889,1.5708,0.2443,-3.5576
245.3756,506.8045,609.9889,1.5708,0.2443,-3.5615
242.8479,501.1432,609.9889,1.5708,0.2443,-3.5655
240.1334,495.1273,609.9889,1.5708,0.4887,-3.5734
237.3713,489.1330,609.9889,1.5708,0.4887,-3.5813
234.3918,482.7988,609.9889,1.5708,0.4887,-3.5887
231.3651,476.4870,609.9889,1.5708,0.4887,-3.5962
228.2915,470.1979,609.9889,1.5708,0.4887,-3.6036
225.1711,463.9319,609.9889,1.5708,0.4887,-3.6111
222.0041,457.6892,609.9889,1.5708,0.4887,-3.6185
219.0661,452.0035,609.9889,1.5708,0.4887,-3.6267
216.3616,446.8726,609.9889,1.5708,0.4887,-3.6357
213.6111,441.7662,609.9889,1.5708,0.4887,-3.6447
210.8148,436.6848,609.9889,1.5708,0.4887,-3.6537
207.7769,431.2801,609.9889,1.5708,0.4887,-3.6621
204.6937,425.9011,609.9889,1.5708,0.4887,-3.6705
201.5653,420.5482,609.9889,1.5708,0.7330,-3.6847
198.3610,415.2405,609.9889,1.5708,0.7330,-3.6990
194.8697,409.6395,609.9889,1.5708,0.7330,-3.7124
191.0878,403.7491,609.9889,1.5708,0.7330,-3.7250
187.2318,397.9069,609.9889,1.5708,0.7330,-3.7376
183.6392,392.6103,609.9889,1.5708,0.7330,-3.7514
179.9738,387.3639,609.9889,1.5708,0.7330,-3.7652
176.0028,381.8438,609.9889,1.5708,0.7330,-3.7782
171.9605,376.3758,609.9889,1.5708,0.7330,-3.7912
167.7264,370.8015,609.9889,1.5708,0.7330,-3.8038
163.4224,365.2810,609.9889,1.5708,0.7330,-3.8164
159.0491,359.8153,609.9889,1.5708,0.7330,-3.8290
154.6071,354.4053,609.9889,1.5708,0.7330,-3.8417
150.4838,349.5105,609.9889,1.5708,0.7330,-3.8555
146.0314,344.3709,609.9889,1.5708,0.7330,-3.8684
141.9114,339.7378,609.9889,1.5708,0.7330,-3.8827
137.4557,334.8688,609.9889,1.5708,0.7330,-3.8961
132.6613,329.7684,609.9889,1.5708,0.7330,-3.9087
127.8029,324.7290,609.9889,1.5708,0.7330,-3.9213
122.8813,319.7512,609.9889,1.5708,0.7330,-3.9339
117.8973,314.8360,609.9889,1.5708,0.9774,-3.9547
112.8123,310.0253,609.9889,1.5708,0.9774,-3.9755
107.6284,305.3213,609.9889,1.5708,0.9774,-3.9963
102.3479,300.7261,609.9889,1.5708,0.9774,-4.0170
96.9731,296.2415,609.9889,1.5708,1.2217,-4.0555
91.4296,291.9672,609.9889,1.5708,1.2217,-4.0941
85.7257,287.9094,609.9889,1.5708,1.2217,-4.1326
79.8699,284.0742,609.9889,1.5708,1.2217,-4.1711
73.8707,280.4673,609.9889,1.5708,1.2217,-4.2096
67.7371,277.0939,609.9889,1.5708,1.2217,-4.2481
61.4783,273.9592,609.9889,1.5708,1.2217,-4.2866
55.6498,271.3156,609.9889,1.5708,1.2217,-4.3287
50.2715,269.1443,609.9889,1.5708,1.2217,-4.3752
44.7982,267.2252,609.9889,1.5708,1.2217,-4.4216
39.2417,265.5624,609.9889,1.5708,1.2217,-4.4681
33.6139,264.1596,609.9889,1.5708,1.2217,-4.5146
27.9270,263.0197,609.9889,1.5708,1.2217,-4.5610
22.1933,262.1452,609.9889,1.5708,1.2217,-4.6075
16.4252,261.5380,609.9889,1.5708,1.2217,-4.6540
10.6351,261.1993,609.9889,1.5708,1.2217,-4.7004
5.4355,261.1372,609.9889,1.5708,1.2217,-4.7523
0.8391,261.3207,609.9889,1.5708,1.2217,-4.8109
-3.7386,261.7730,609.9889,1.5708,1.2217,4.8695
0.8048,262.4925,609.9889,1.5708,1.2217,-1.4723
