Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0000,200.9492,200.7405,3077.3611,0.0000,0.0000,34.4775
0.1200,200.9445,200.7473,3077.3611,0.0000,0.0000,34.4775
0.2400,200.9399,200.7540,3077.3611,0.0000,0.0000,34.4775
0.3600,200.9348,200.7614,3077.3611,8.4000,0.0000,34.6446
0.4800,200.9297,200.7688,3077.3611,16.8000,0.0000,34.9863
0.6000,200.9246,200.7761,3077.3611,0.0000,0.0000,34.9863
0.7200,200.9195,200.7834,3077.3611,0.0000,0.0000,34.9863
0.8400,200.9139,200.7913,3077.3611,0.0000,0.0000,34.9863
0.9600,200.9080,200.7998,3077.3611,0.0000,0.0000,34.9863
1.0800,200.9019,200.8084,3077.3611,0.0000,0.0000,34.9863
1.2000,200.8959,200.8170,3077.3611,8.4000,0.0000,35.1286
1.3200,200.8899,200.8256,3077.3611,0.0000,0.0000,35.1286
1.4400,200.8838,200.8342,3077.3611,0.0000,0.0000,35.1286
1.5600,200.8778,200.8428,3077.3611,0.0000,0.0000,35.1286
1.6800,200.8718,200.8514,3077.3611,0.0000,0.0000,35.1286
1.8000,200.8657,200.8600,3077.3611,0.0000,0.0000,35.1286
1.9200,200.8603,200.8677,3077.3611,8.4000,0.0000,35.2872
2.0400,200.8549,200.8754,3077.3611,16.8000,0.0000,35.6114
2.1600,200.8494,200.8830,3077.3611,0.0000,0.0000,35.6114
2.2800,200.8445,200.8898,3077.3611,0.0000,0.0000,35.6114
2.4000,200.8392,200.8972,3077.3611,8.4000,0.0000,35.7763
2.5200,200.8339,200.9045,3077.3611,0.0000,0.0000,35.7763
2.6400,200.8293,200.9110,3077.3611,0.0000,0.0000,35.7763
2.7600,200.8242,200.9181,3077.3611,0.0000,0.0000,35.7763
2.8800,200.8191,200.9251,3077.3611,0.0000,0.0000,35.7763
3.0000,200.8140,200.9322,3077.3611,0.0000,0.0000,35.7763
3.1200,200.8089,200.9392,3077.3611,0.0000,0.0000,35.7763
3.2400,200.8038,200.9463,3077.3611,0.0000,0.0000,35.7763
3.3600,200.7994,200.9525,3077.3611,0.0000,0.0000,35.7763
3.4800,200.7956,200.9578,3077.3611,0.0000,0.0000,35.7763
3.6000,200.7924,200.9622,3077.3611,0.0000,0.0000,35.7763
3.7200,200.7897,200.9659,3077.3611,8.4000,0.0000,36.1083
3.8400,200.7871,200.9695,3077.3611,0.0000,0.0000,36.1083
3.9600,200.7844,200.9731,3077.3611,0.0000,0.0000,36.1083
4.0800,200.7814,200.9774,3077.3611,8.4000,0.0000,36.3945
4.2000,200.7783,200.9816,3077.3611,0.0000,0.0000,36.3945
4.3200,200.7752,200.9858,3077.3611,0.0000,0.0000,36.3945
4.4400,200.7716,200.9905,3077.3611,0.0000,0.0000,36.3945
4.5600,200.7681,200.9953,3077.3611,0.0000,0.0000,36.3945
4.6800,200.7642,201.0007,3077.3611,0.0000,0.0000,143.6055
4.8000,200.7609,200.9962,3077.3611,8.4000,0.0000,143.8732
4.9200,200.7576,200.9917,3077.3611,16.8000,0.0000,144.4206
5.0400,200.7543,200.9871,3077.3611,0.0000,0.0000,144.4206
5.1600,200.7511,200.9826,3077.3611,0.0000,0.0000,144.4206
5.2800,200.7485,200.9789,3077.3611,0.0000,0.0000,144.4206
5.4000,200.7458,200.9753,3077.3611,8.4000,0.0000,144.7526
5.5200,200.7432,200.9716,3077.3611,0.0000,0.0000,144.7526
5.6400,200.7406,200.9679,3077.3611,0.0000,0.0000,144.7526
5.7600,200.7376,200.9637,3077.3611,8.4000,0.0000,145.0388
5.8800,200.7346,200.9594,3077.3611,16.8000,0.0000,145.6240
6.0000,200.7317,200.9551,3077.3611,0.0000,0.0000,145.6240
6.1200,200.7283,200.9502,3077.3611,0.0000,0.0000,145.6240
6.2400,200.7250,200.9453,3077.3611,0.0000,0.0000,145.6240
