# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
746.6170,254.8922,759.5365,1.5708,0.0000,-2.5788
749.2848,250.6634,759.5365,1.5708,0.0000,-2.5788
751.9527,246.4346,759.5365,1.5708,0.0000,-2.5788
754.6206,242.2059,759.5365,1.5708,0.0000,-2.5788
757.2884,237.9771,759.5365,1.5708,0.0000,-2.5788
759.9563,233.7483,759.5365,1.5708,0.0000,-2.5788
762.6242,229.5196,759.5365,1.5708,0.0000,-2.5788
765.2920,225.2908,759.5365,1.5708,0.0000,-2.5788
767.9599,221.0620,759.5365,1.5708,0.0000,-2.5788
770.6278,216.8333,759.5365,1.5708,0.0000,-2.5788
773.2957,212.6045,759.5365,1.5708,0.0000,-2.5788
775.9635,208.3757,759.5365,1.5708,0.0000,-2.5788
778.6314,204.1470,759.5365,1.5708,0.0000,-2.5788
781.2993,199.9182,759.5365,1.5708,0.0000,-2.5788
783.9671,195.6894,759.5365,1.5708,0.0000,-2.5788
786.6350,191.4607,759.5365,1.5708,0.0000,-2.5788
789.3029,187.2319,759.5365,1.5708,0.0000,-2.5788
791.9707,183.0031,759.5365,1.5708,0.0000,-2.5788
794.6386,178.7744,759.5365,1.5708,0.0000,-2.5788
797.3065,174.5456,759.5365,1.5708,0.0000,-2.5788
799.9744,170.3168,759.5365,1.5708,0.0000,-2.5788
802.6422,166.0881,759.5365,1.5708,0.0000,2.5788
799.9744,161.8593,759.5365,1.5708,0.0000,-3.7044
797.3065,157.6305,759.5365,1.5708,0.0000,-3.7044
794.6386,153.4018,759.5365,1.5708,0.0000,-3.7044
791.9707,149.1730,759.5365,1.5708,0.0000,-3.7044
789.3029,144.9442,759.5365,1.5708,0.0000,-3.7044
786.6350,140.7155,759.5365,1.5708,0.0000,-3.7044
783.9671,136.4867,759.5365,1.5708,0.0000,-3.7044
781.2993,132.2579,759.5365,1.5708,0.0000,-3.7044
778.6314,128.0292,759.5365,1.5708,0.0000,-3.7044
775.9635,123.8004,759.5365,1.5708,0.0000,-3.7044
773.2957,119.5716,759.5365,1.5708,0.0000,-3.7044
770.6278,115.3429,759.5365,1.5708,0.0000,-3.7044
767.9599,111.1141,759.5365,1.5708,0.0000,-3.7044
765.2920,106.8853,759.5365,1.5708,0.0000,-3.7044
762.6242,102.6566,759.5365,1.5708,0.0000,-3.7044
759.9563,98.4278,759.5365,1.5708,0.0000,-3.7044
757.2884,94.1990,759.5365,1.5708,0.0000,-3.7044
754.6206,89.9703,759.5365,1.5708,0.0000,-3.7044
751.9527,85.7415,759.5365,1.5708,0.0000,-3.7044
749.2848,81.5127,759.5365,1.5708,0.0000,-3.7044
746.6170,77.2840,759.5365,1.5708,0.0000,-3.7044
743.9491,73.0552,759.5365,1.5708,0.0000,-3.7044
741.2812,68.8264,759.5365,1.5708,0.0000,-3.7044
738.6133,64.5977,759.5365,1.5708,0.0000,-3.7044
735.9455,60.3689,759.5365,1.5708,0.0000,-3.7044
733.2776,56.1401,759.5365,1.5708,0.0000,-3.7044
730.6097,51.9114,759.5365,1.5708,0.0000,-3.7044
727.9419,47.6826,759.5365,1.5708,0.0000,-3.7044
725.2740,43.4538,759.5365,1.5708,0.0000,-3.7044
722.6061,39.2251,759.5365,1.5708,0.0000,-3.7044
719.9383,34.9963,759.5365,1.5708,0.0000,-3.7044
717.2704,30.7675,759.5365,1.5708,0.0000,-3.7044
714.6025,26.5388,759.5365,1.5708,0.0000,-3.7044
711.9346,22.3100,759.5365,1.5708,0.0000,-3.7044
709.2668,18.0812,759.5365,1.5708,0.0000,-3.7044
706.5989,13.8525,759.5365,1.5708,0.0000,-3.7044
703.9310,9.6237,759.5365,1.5708,0.0000,-3.7044
701.2632,5.3949,759.5365,1.5708,0.0000,-3.7044
698.5953,1.1662,759.5365,1.5708,0.0000,-3.7044
695.9274,-3.0626,759.5365,1.5708,0.0000,0.5628
693.2596,1.1662,759.5365,1.5708,0.0000,-5.7204
690.5917,5.3949,759.5365,1.5708,0.0000,-5.7204
687.9238,9.6237,759.5365,1.5708,0.0000,-5.7204
685.2559,13.8525,759.5365,1.5708,0.0000,-5.7204
682.5881,18.0812,759.5365,1.5708,0.0000,-5.7204
679.9202,22.3100,759.5365,1.5708,0.0000,-5.7204
677.2523,26.5388,759.5365,1.5708,0.0000,-5.7204
674.5845,30.7675,759.5365,1.5708,0.0000,-5.7204
671.9166,34.9963,759.5365,1.5708,0.0000,-5.7204
669.2487,39.2251,759.5365,1.5708,0.0000,-5.7204
666.5809,43.4538,759.5365,1.5708,0.0000,-5.7204
663.9130,47.6826,759.5365,1.5708,0.0000,-5.7204
661.2451,51.9114,759.5365,1.5708,0.0000,-5.7204
658.5772,56.1401,759.5365,1.5708,0.0000,-5.7204
655.9094,60.3689,759.5365,1.5708,0.0000,-5.7204
653.2415,64.5977,759.5365,1.5708,0.0000,-5.7204
650.5736,68.8264,759.5365,1.5708,0.0000,-5.7204
647.9058,73.0552,759.5365,1.5708,0.0000,-5.7204
645.2379,77.2840,759.5365,1.5708,0.0000,-5.7204
642.5700,81.5127,759.5365,1.5708,0.0000,-5.7204
639.9022,85.7415,759.5365,1.5708,0.0000,-5.7204
637.2343,89.9703,759.5365,1.5708,0.0000,-5.7204
634.5664,94.1990,759.5365,1.5708,0.0000,-5.7204
631.8986,98.4278,759.5365,1.5708,0.0000,-5.7204
629.2307,102.6566,759.5365,1.5708,0.0000,-5.7204
626.5628,106.8853,759.5365,1.5708,0.0000,-5.7204
623.8949,111.1141,759.5365,1.5708,0.0000,-5.7204
621.2271,115.3429,759.5365,1.5708,0.0000,-5.7204
